Company Name,Scrip Code
clara industries ltd.,543435
classic electricals ltd.,512213
classic global finance and capital ltd.,538433
classic leasing & finance ltd.,540481
clc industries ltd.,521082
clean science & technology ltd.,543318
clenon enterprises ltd.,517564
clinitech laboratory ltd.,544220
clio infotech ltd.,530839
cln energy ltd.,544347
cmi ltd.,517330
cms info systems ltd.,543441
cmx holdings ltd.,532217
coal india ltd.,533278
coastal corporation ltd.,501831
coastal roadways ltd.,520131
cochin malabar estates & industries ltd.,508571
cochin minerals & rutile ltd.,513353
cochin shipyard ltd.,540678
coffee day enterprises ltd.,539436
coforge ltd.,532541
cohance lifesciences ltd.,543064
colab platforms ltd.,542866
colgate-palmolive (india) ltd.,500830
colinz laboratories ltd.,531210
colorchips new media ltd.,540023
comfort commotrade ltd.,534691
comfort fincap ltd.,535267
comfort intech ltd.,531216
command polymers ltd.,543843
commercial syn bags ltd.,539986
commex technology ltd.,532342
competent automobiles co ltd.,531041
compuage infocom ltd.,532456
compucom software ltd.,532339
computer age management services ltd.,543232
computer point ltd.,507833
comrade appliances ltd.,543921
conart engineers ltd.,522231
concord biotech ltd.,543960
concord control systems ltd.,543619
concord drugs ltd.,538965
concord enviro systems ltd.,544315
concrete infra & media ltd.,539266
confidence futuristic energetech ltd.,539991
confidence petroleum india ltd.,526829
consecutive investments & trading company ltd.,539091
consolidated construction consortium ltd.,532902
consolidated finvest & holdings ltd.,500226
constronics infra ltd.,523844
containe technologies ltd.,543606
container corporation of india ltd.,531344
contil india ltd.,531067
continental chemicals ltd.,506935
continental controls ltd.,531460
continental petroleums ltd.,523232
continental securities ltd.,538868
control print ltd.,522295
coral india finance and housing ltd.,531556
coral laboratories ltd.,524506
coral newsprints ltd.,530755
cords cable industries ltd.,532941
coromandel agro products and oils ltd.,507543
coromandel engineering company ltd.,533167
